,head,qa,rel,ans
0,m.09l3p,what character did natalie portman play in star wars,['film.actor.film|film.performance.character'],m.0drf_
1,m.03st9j,what country is the grand bahama island in,['location.location.containedby'],m.0160w
2,m.0160w,what kind of money to take to bahamas,['location.country.currency_used'],m.01l6dm
3,m.02fgm7,what character did john noble play in lord of the rings,['film.actor.film|film.performance.character'],m.0gp7f
4,m.0c2yrf,who does joakim noah play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.0jm74
5,m.084l5,where are the nfl redskins from,['sports.sports_team.location'],m.0rh6k
6,m.07484,where did saki live,['people.person.place_of_birth'],m.05ql8_
7,m.01sn3,what time zone am i in cleveland ohio,['location.location.time_zones'],m.02hcv8
8,m.0c2m4,who did draco malloy end up marrying,['fictional_universe.fictional_character.married_to|fictional_universe.marriage_of_fictional_characters.spouses'],m.09k254x
9,m.09c7w0,which countries border the us,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.0b90_r|m.0d060g
10,m.06c62,where is rome italy located on a map,['location.location.containedby'],m.03rjj|m.04q_g|m.098phg
11,m.027nwk2,what is nina dobrev nationality,['people.person.nationality'],m.015qh|m.0d060g
